0703,夫沢,OTTOZAWA
0706,小名浜,ONAHAMA
0802,日立,HITACHI
0803,那珂湊,NAKAMINATO
0804,鹿島,KASHIMA
1202,銚子漁港,CHOSHI-GYOKO
1205,上総勝浦,KAZUSA-KATSUURA
1206,鴨川,KAMOGAWA
1208,布良,MERA
1212,君津,KIMITSU
1216,千葉灯標（千葉）,CHIBA-CHIBA LIGHT
1218,船橋,FUNABASHI
1314,晴海（東京）,TOKYO-HARUMI
1304,岡田（大島）,OKADA(O SHIMA)
1305,波浮（大島）,HABU(O SHIMA)
1306,式根島,SHIKINE SHIMA
1308,阿古（三宅島）,AKO(MIYAKE SHIMA)
1309,神湊（八丈島）,HACHIJO SHIMA-KAMINATO
1315,八重根（八丈島）,YAENE(HACHIJO SHIMA)
1403,横浜新港（横浜）,YKOHAMA SHINKO
1407,横須賀,YOKOSUKA
1410,久里浜（横須賀）,KURIHAMA
1413,城ケ島（三崎）,JO-GA-SHIMA
1419,江ノ島,E-NO-SHIMA
1501,能生,NOO
1502,直江津,NAOETSU
1503,柏崎,KASHIWAZAKI(HONSHU)
1602,伏木,FUSHIKI
1603,富山,TOYAMA
1604,生地,IKUJI
1605,宮崎,MIYAZAKI(HONSHU)
1701,金沢,KANAZAWA
1702,滝,TAKI
1703,寺家,JIGE
1704,輪島,WAJIMA
1705,松波,MATSUNAMI
1708,七尾,NANAO
1802,和田（高浜湾）,WADA
1805,敦賀,TSURUGA
1807,三国,MIKUNI
2202,伊東,ITO
2205,下田,SHIMODA
2222,石廊崎,IROUSAKI
2209,宇久須,UGUSU
2210,三津（内浦湾）,MITO
2211,田子の浦,TAGONOURA
2213,清水,SHIMIZU(SHIMIZUMINATO)
2215,焼津,YAIZU
2217,御前崎,OMAEZAKI
2218,舞阪（浜名湖）,MAISAKA
2219,熱海,ATAMI
2220,稲取,INATORI
2301,伊良湖,IRAGO
2307,三河,MIKAWA
2309,蒲郡,GAMAGORI
2313,十一号地（衣浦）,KINUURA-JUICHIGOCHI
2316,鬼崎,ONISAKI
2317,名古屋,NAGOYA
2318,赤羽根,AKABANE
2401,四日市,YOKKAICHI
2403,松阪,MATSUSAKA
2405,鳥羽,TOBA
2407,浜島,HAMAJIMA
2411,尾鷲,OWASE
2414,鵜殿,UDONO
3003,串本,KUSHIMOTO
1322,御蔵島,MIKURA
