0114,根室,NEMURO
0115,尾岱沼,ODAITO
0116,羅臼,RAUSU
0118,網走,ABASHIRI
0119,紋別,MONBETSU
0120,雄武,OMU
0121,枝幸,ESASHI(HOKKAIDO)
0123,宗谷岬,SOYA MISAKI
0124,稚内,WAKKANAI
0127,沓形（利尻島）,KUTSUGATA
0128,船泊（礼文島）,FUNADOMARI
0130,留萌,RUMOI
0131,浜益,HAMAMASU
0132,小樽,OTARU
0133,忍路,OSHORO
0134,神威岬,KAMUI MISAKI
0135,岩内,IWANAI
0136,寿都,SUTTSU
0137,瀬棚,SETANA
0138,奥尻（奥尻島）,OKUSHIRI
0139,青苗（奥尻島）,AONAE
0140,江差,ESASHI(HOKKAIDO)
0142,松前,MATSUMAE
0143,吉岡,YOSHIOKA
0145,函館,HAKODATE
0148,古武井,KOBUI
0150,森,MORI
0151,有珠湾,USU WAN
0152,室蘭,MURORAN
0153,苫小牧,TOMAKOMAI
0154,東静内,HIGASHI-SHIZUNAI
0156,浦河,URAKAWA
0159,襟裳岬,ERIMOMISAKI
0163,十勝,TOKACHI
0164,釧路,KUSHIRO
0166,厚岸湖,AKKESHI KO
0167,霧多布（浜中湾）,KIRITAPPU
0169,花咲,HANASAKI
0172,湧別,YUBETSU
0174,遠別,ENBETSU
0176,白老,SHIRAOI
0177,稚咲内,WASSAKANAI
0201,竜飛埼,TAPPI SAKI(REFERENCE)
0208,大湊,OMINATO
0209,大間,OMA
0210,大畑,OHATA
0211,尻屋岬,SHIRIYAMISAKI
0212,尻屋,SHIRIYA
0214,泊,TOMARI
0219,小泊,KODOMARI
0179,浜頓別,HAMATONBETSU
0180,羽幌港,HABORO KO
0181,宇登呂,UTORO
